Id,VendorName,Route,RunType,Type,Reason,Delay,Schools,School Reported,DateOccured
322246,PRIDE TRANSPORTATION (SCH AGE),x957,AM Run,Running Late,Heavy Traffic,16-30 Min,10306,false,2021-01-04
322246,PRIDE TRANSPORTATION (SCH AGE),x957,AM Run,Running Late,Heavy Traffic,16-30 Min,10444,false,2021-01-04
322249,QUALITY TRANSPORTATION CORP.,q2657,AM Run,Running Late,Accident,46-60 Min,26216,false,2021-01-04
322251,"RELIANT TRANSPORTATION, INC (B2321)",l684,AM Run,Running Late,Other,31-45 Min,18709,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01188,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01400,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01450,false,2021-01-04
322252,PRIDE TRANSPORTATION (SCH AGE),m908,AM Run,Running Late,Heavy Traffic,16-30 Min,01616,false,2021-01-04
322255,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Running Late,Heavy Traffic,16-30 Min,02655,false,2021-01-04
322255,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Running Late,Heavy Traffic,16-30 Min,02908,false,2021-01-04
322255,"RELIANT TRANSPORTATION, INC (B2321)",n042,AM Run,Running Late,Heavy Traffic,16-30 Min,02948,false,2021-01-04
322256,"RELIANT TRANSPORTATION, INC (B2321)",k586,AM Run,Running Late,Heavy Traffic,16-30 Min,20127,false,2021-01-04
322256,"RELIANT TRANSPORTATION, INC (B2321)",k586,AM Run,Running Late,Heavy Traffic,16-30 Min,20448,false,2021-01-04
322257,THOMAS BUSES INC (B2192),w112,AM Run,Running Late,Heavy Traffic,31-45 Min,75912,false,2021-01-04
322261,B & F SKILLED INC.(B2192),l308,AM Run,Running Late,Heavy Traffic,31-45 Min,22657,false,2021-01-04
322264,B & F SKILLED INC.(B2192),l311,AM Run,Running Late,Mechanical Problem,16-30 Min,22222,false,2021-01-04
322264,B & F SKILLED INC.(B2192),l311,AM Run,Running Late,Mechanical Problem,16-30 Min,22657,false,2021-01-04
322266,"DON THOMAS BUSES, INC.",mn1,AM Run,Running Late,Heavy Traffic,31-45 Min,c041,false,2021-01-04
322272,"GRANDPA`S BUS CO., INC.",x9271,PM Run,Breakdown,Mechanical Problem,,10081,false,2021-01-04
322276,"RELIANT TRANSPORTATION, INC (B2321)",k618,AM Run,Running Late,Heavy Traffic,16-30 Min,20865,false,2021-01-04
322281,HOYT TRANSPORTATION CORP.,j735,AM Run,Running Late,Heavy Traffic,0-15 Min,75565,false,2021-01-04
322286,PRIDE TRANSPORTATION (SCH AGE),m972,AM Run,Running Late,Heavy Traffic,31-45 Min,02035,false,2021-01-04
322286,PRIDE TRANSPORTATION (SCH AGE),m972,AM Run,Running Late,Heavy Traffic,31-45 Min,02051,false,2021-01-04
322286,PRIDE TRANSPORTATION (SCH AGE),m972,AM Run,Running Late,Heavy Traffic,31-45 Min,02414,false,2021-01-04
322606,HOYT TRANSPORTATION CORP.,l781,AM Run,Running Late,Heavy Traffic,0-15 Min,17465,false,2021-01-11
322606,HOYT TRANSPORTATION CORP.,l781,AM Run,Running Late,Heavy Traffic,0-15 Min,17685,false,2021-01-11
322608,JOFAZ TRANSPORTATION INC.,p717,PM Run,Breakdown,Mechanical Problem,,24005,false,2021-01-11
322608,JOFAZ TRANSPORTATION INC.,p717,PM Run,Breakdown,Mechanical Problem,,24023,false,2021-01-11
322610,SNT BUS INC,m1081,AM Run,Running Late,Heavy Traffic,16-30 Min,02711,false,2021-01-11
322612,"BORO TRANSIT, INC.",n884,AM Run,Running Late,Heavy Traffic,16-30 Min,75029,false,2021-01-11
322627,B & F SKILLED INC.(B2192),l351,AM Run,Running Late,Heavy Traffic,31-45 Min,14017,false,2021-01-11
322627,B & F SKILLED INC.(B2192),l351,AM Run,Running Late,Heavy Traffic,31-45 Min,14084,false,2021-01-11
322629,HOYT TRANSPORTATION CORP.,p249,AM Run,Running Late,Heavy Traffic,0-15 Min,24560,false,2021-01-11
322629,HOYT TRANSPORTATION CORP.,p249,AM Run,Running Late,Heavy Traffic,0-15 Min,24755,false,2021-01-11
322630,QUALITY TRANSPORTATION CORP.,q9109,PM Run,Breakdown,Mechanical Problem,,30004,false,2021-01-11
322635,HOYT TRANSPORTATION CORP.,x476,PM Run,Running Late,Heavy Traffic,16-30 Min,11910,false,2021-01-11
322640,VAN TRANS LLC (B2192),c900,PM Run,Running Late,Won`t Start,46-60 Min,75960,false,2021-01-11
322641,QUALITY TRANSPORTATION CORP.,k9753,PM Run,Breakdown,Mechanical Problem,,17398,false,2021-01-11
322641,QUALITY TRANSPORTATION CORP.,k9753,PM Run,Breakdown,Mechanical Problem,,17894,false,2021-01-11
322644,"G.V.C., LTD.",8,PM Run,Running Late,Heavy Traffic,16-30 Min,c178,false,2021-01-11
322649,VAN TRANS LLC (B2192),c900,AM Run,Running Late,Heavy Traffic,0-15 Min,75960,false,2021-01-11
322651,SNT BUS INC,m1013,AM Run,Running Late,Mechanical Problem,31-45 Min,02809,false,2021-01-11
